case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity,suggested_commands
NET-012,Hosts cannot communicate between VLAN 10 and 20,SVI for VLAN 20 is missing,"show ip interface brief
Vlan10 192.168.10.1 up up
No Vlan20 interface",VLAN 20 SVI is missing,Layer 3,Inter-VLAN Routing,High,"show ip interface brief
interface vlan 20
ip address 192.168.20.1 255.255.255.0
no shutdown"
NET-013,Switch reports VLAN 40 does not exist,VLAN was never created,"show vlan brief
10 Users
20 Staff
30 Servers
No VLAN 40",VLAN 40 is missing,Layer 2,VLAN,Medium,"vlan 40
name VLAN40"
NET-014,OSPF neighbor is not forming,Interfaces are in different OSPF areas,"show ip ospf neighbor
R1 G0/0 area 0
R2 G0/0 area 1",OSPF area mismatch,Layer 3,OSPF,High,show ip ospf interface
NET-015,OSPF neighbor is down after address change,OSPF network statement does not include interface,"show ip ospf interface brief
G0/1 not listed
show running-config | section router ospf",OSPF is not enabled for G0/1,Layer 3,OSPF,High,"show ip protocols
router ospf 1"
NET-016,Ping to remote server fails but route exists,ACL denies ICMP,"show access-lists
deny icmp 192.168.10.0 0.0.0.255 host 192.168.40.10
permit ip any any",ACL explicitly denies ICMP,Layer 3/4,ACL,High,"show access-lists
show ip interface"
NET-017,Web server reachable by IP but not name,DNS record is missing,"nslookup web.local
*** server can't find web.local: NXDOMAIN
ping 192.168.40.10 succeeds",DNS record for web.local is missing,Layer 7,DNS,Medium,nslookup web.local
NET-018,DHCP clients in VLAN 30 get no address,DHCP relay helper-address is missing,"show running-config interface vlan 30
No ip helper-address
DHCP server: 192.168.100.10",Missing DHCP relay helper-address,Layer 3,DHCP Relay,High,"show running-config interface vlan 30
ip helper-address 192.168.100.10"
NET-019,Trunk link is not negotiating,Port is configured as access mode,"show interfaces switchport
Administrative Mode: static access
Operational Mode: static access",Trunk port is configured as access,Layer 2,Trunking,High,"interface g0/1
switchport mode trunk"
NET-020,PC cannot reach another subnet,PC has wrong subnet mask,"PC IP: 192.168.10.20
Mask: 255.255.0.0
Expected mask: 255.255.255.0",Incorrect subnet mask,Layer 3,IP Addressing,Medium,ipconfig /all
NET-021,Internet access fails after NAT configuration,Inside/outside interface roles are reversed,"show ip nat statistics
Inside interfaces: G0/1
Outside interfaces: G0/0
Topology shows LAN on G0/0, ISP on G0/1",NAT inside/outside roles are reversed,Layer 3,NAT,High,"show ip nat statistics
show running-config interface g0/0"
NET-022,Only DHCP clients fail while static hosts work,DHCP pool is exhausted,"show ip dhcp pool
Leased addresses: 254
Maximum addresses: 254",DHCP address pool has no free leases,Layer 3,DHCP,Medium,show ip dhcp pool
NET-023,Server cannot be reached from one subnet,Return route to client subnet is missing,"show ip route
Server router has 192.168.40.0/24
No route to 192.168.20.0/24",Missing return route to client subnet,Layer 3,Routing,High,show ip route
NET-024,Switch management IP cannot be reached,Management SVI is shutdown,"show ip interface brief
Vlan99 192.168.99.2 administratively down down",Management SVI is shutdown,Layer 3,Switch Management,Medium,"interface vlan 99
no shutdown"
NET-025,Wireless clients connect but cannot access LAN,Wireless SSID is mapped to guest VLAN,"show vlan brief
SSID CORP -> VLAN 60
VLAN 60 policy is guest-only",Corporate SSID is mapped to guest VLAN,Layer 2/3,Wireless VLAN,High,show vlan brief
NET-026,ACL works for some hosts but not others,ACL wildcard mask is incorrect,"access-list 110 permit ip 192.168.10.0 0.0.255.255 any
Expected wildcard: 0.0.0.255",ACL wildcard mask is too broad,Layer 3/4,ACL,High,show access-lists 110
NET-027,Router cannot ping directly connected peer,IP addresses are in different subnets,"R1 G0/0: 10.0.0.1/30
R2 G0/0: 10.0.0.6/30",Connected interfaces are not in the same subnet,Layer 3,IP Addressing,High,show ip interface brief
NET-028,Port security blocks a legitimate PC,Sticky MAC table has a different learned MAC,"show port-security interface fa0/8
Secure MAC: 00AA.BBCC.DDEE
Current PC MAC: 00AA.BBCC.1122
Violation: shutdown",Port-security violation caused by MAC mismatch,Layer 2,Port Security,High,show port-security interface fa0/8
NET-029,VLAN traffic stops after switch replacement,Native VLAN mismatch on trunk,"show interfaces trunk
SW1 native VLAN: 99
SW2 native VLAN: 1",Native VLAN mismatch,Layer 2,Trunking,Medium,show interfaces trunk
NET-030,Static route configured but not installed,Next-hop is unreachable,"show ip route static
% Route not installed
show ip route 10.10.20.0
No route to next-hop 10.0.0.2",Static route next-hop is unreachable,Layer 3,Routing,High,"show ip route
show ip route <next-hop>"
